cell_id,market,source_effective_date,comparison_group_id,bag_type,size_label,material_group,brands,brand_counts,brand_medians,regular_special_status,headline_eligible,pairing_status,price_comparison_status,gate_reason,limitation
CELL-US-backpack-unknown-leather,US,2026-09-07,US|backpack|unknown|leather,backpack,unknown,leather,Chanel,Chanel:1,Chanel:7400,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-bucket-unknown-leather,US,2026-09-07,US|bucket|unknown|leather,bucket,unknown,leather,Chanel,Chanel:1,Chanel:6700,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-bumbag-unknown-textile,US,2026-09-07,US|bumbag|unknown|textile,bumbag,unknown,textile,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2020,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-clutch-29-leather,US,2026-09-07,US|clutch|29|leather,clutch,29,leather,Hermès,Hermès:1,Hermès:5500,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-clutch-unknown-leather,US,2026-09-07,US|clutch|unknown|leather,clutch,unknown,leather,Hermès,Hermès:2,Hermès:7375,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-crossbody-20-mixed_textile_leather,US,2026-09-07,US|crossbody|20|mixed_textile_leather,crossbody,20,mixed_textile_leather,Hermès,Hermès:1,Hermès:3200,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-crossbody-mini-mixed_textile_leather,US,2026-09-07,US|crossbody|mini|mixed_textile_leather,crossbody,mini,mixed_textile_leather,Hermès,Hermès:1,Hermès:9350,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-crossbody-unknown-leather,US,2026-09-07,US|crossbody|unknown|leather,crossbody,unknown,leather,Hermès,Hermès:4,Hermès:4737.5,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-crossbody-unknown-mixed_textile_leather,US,2026-09-07,US|crossbody|unknown|mixed_textile_leather,crossbody,unknown,mixed_textile_leather,Hermès,Hermès:1,Hermès:4700,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-flap-maxi-leather,US,2026-09-07,US|flap|maxi|leather,flap,maxi,leather,Chanel,Chanel:5,Chanel:8500,regular_special_not_disclosed,FALSE,blocked_no_cross_brand_peer,not_computed,blocked_no_cross_brand_peer,No second brand shares the exact attribute cell.
CELL-US-flap-small-leather,US,2026-09-07,US|flap|small|leather,flap,small,leather,Chanel,Chanel:2,Chanel:8600,regular_special_not_disclosed,FALSE,blocked_no_cross_brand_peer,not_computed,blocked_no_cross_brand_peer,No second brand shares the exact attribute cell.
CELL-US-flap-unknown-leather,US,2026-09-07,US|flap|unknown|leather,flap,unknown,leather,Chanel,Chanel:2,Chanel:6900,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-hobo-PM-leather,US,2026-09-07,US|hobo|PM|leather,hobo,PM,leather,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:3600,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-hobo-small-leather,US,2026-09-07,US|hobo|small|leather,hobo,small,leather,Chanel;Dior,Chanel:1;Dior:6,Chanel:5200;Dior:3700,regular_special_not_disclosed,FALSE,blocked_sample_insufficient,not_computed,blocked_sample_insufficient,Each brand needs at least 2 numeric rows in the cell.
CELL-US-mini-mini-leather,US,2026-09-07,US|mini|mini|leather,mini,mini,leather,Hermès,Hermès:1,Hermès:7300,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-mini-nano-leather,US,2026-09-07,US|mini|nano|leather,mini,nano,leather,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2300,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-mini-nano-textile,US,2026-09-07,US|mini|nano|textile,mini,nano,textile,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2050,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-shoulder-18-mixed_textile_leather,US,2026-09-07,US|shoulder|18|mixed_textile_leather,shoulder,18,mixed_textile_leather,Hermès,Hermès:1,Hermès:5350,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-shoulder-BB-leather,US,2026-09-07,US|shoulder|BB|leather,shoulder,BB,leather,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:3350,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
