brand,product_lineage_id,product_family,market,currency,lineage_continuity_status,calculation_scope,earliest_observation,earliest_price,latest_observation,latest_price,n_numeric_observations,n_conflict_rows_excluded,elapsed_years,absolute_change,cumulative_change_pct,n_event_rows_in_file,n_positive_event_rows,n_non_conflict_positive_event_rows,source_confidence_mix,calculation_confidence,headline_use,lineage_note
Chanel,CH-C01,Classic 11.12,FR,EUR,SAME_MODEL_CONTINUOUS,same_model_comparable,2022,8990.00,2026-08-15,10500.00,4,0,4.619,1510.00,16.80,2,2,2,HIGH+MEDIUM,MEDIUM,headline_eligible,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
Chanel,CH-C02,Small Classic,FR,EUR,SAME_MODEL_CONTINUOUS,same_model_comparable,2022,8450.00,2026-08-15,10100.00,4,0,4.619,1650.00,19.53,2,2,2,HIGH+MEDIUM,MEDIUM,headline_eligible,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
Chanel,CH-C03,Mini Classic,FR,EUR,SAME_MODEL_CONTINUOUS,same_model_comparable,2020,3350.00,2026-08-15,4850.00,5,0,6.620,1500.00,44.78,3,3,3,HIGH+MEDIUM,MEDIUM,headline_eligible,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
Chanel,CH-C04,Mini Classic,FR,EUR,SAME_MODEL_CONTINUOUS,same_model_comparable,2022,4350.00,2026-08-15,5050.00,4,0,4.619,700.00,16.09,2,2,2,HIGH+MEDIUM,MEDIUM,headline_eligible,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
Dior,DI-D01,Saddle,US,USD,MODEL_SUCCESSOR,successor_directional,2022,4200.00,2026-08-15,4400.00,3,0,4.619,200.00,4.76,1,1,1,HIGH+MEDIUM,MEDIUM-LOW,directional_or_sensitivity_only,US historical series is usable for 2022–2023 with size/material caveat; France current anchor retained.
Dior,DI-D02,Dior Book Tote,FR,EUR,MODEL_SUCCESSOR,successor_directional,2024,2600.00,2026-08-15,3250.00,2,0,2.620,650.00,25.00,1,1,1,HIGH+MEDIUM,MEDIUM-LOW,directional_or_sensitivity_only,Material/version difference is documented; do not treat as exact-SKU continuity.
Dior,DI-D02,Dior Book Tote,US,USD,MODEL_SUCCESSOR,successor_directional,2024,3250.00,2026-08-15,3900.00,2,0,2.620,650.00,20.00,1,1,1,HIGH+MEDIUM,MEDIUM-LOW,directional_or_sensitivity_only,Material/version difference is documented; do not treat as exact-SKU continuity.
Dior,DI-D03,Dior Book Tote,FR,EUR,MODEL_SUCCESSOR,successor_directional,2024,2700.00,2026-08-15,3650.00,2,0,2.620,950.00,35.19,1,1,1,HIGH+MEDIUM,MEDIUM-LOW,directional_or_sensitivity_only,France current anchor is numeric; US current price was unresolved in the supplied current capture.
Dior,DI-D03,Dior Book Tote,US,USD,MODEL_SUCCESSOR,successor_directional,2019,2700.00,2024,3350.00,5,0,5.000,650.00,24.07,3,3,3,MEDIUM,MEDIUM-LOW,directional_or_sensitivity_only,France current anchor is numeric; US current price was unresolved in the supplied current capture.
Hermès,HM-H01,Geta,FR,EUR,SAME_MODEL_CONTINUOUS,same_model_comparable,2022,4550.00,2026-08-15,5300.00,3,2,4.619,750.00,16.48,2,2,1,HIGH+MEDIUM,MEDIUM,directional_or_sensitivity_only,"France includes a 2023 source conflict (4,550 vs 5,550 EUR); both are retained. US historical coverage is available for 2023–2024."
