product_lineage_id,brand,product_family,current_reference,historical_reference,historical_name,current_name,continuity_status,continuity_evidence,confidence,notes
CH-C01,Chanel,Classic 11.12,A01112-Y04059-U8390,Medium Chanel Classic / Classic Flap,Medium Chanel Classic / Classic Flap,Sac classique 11.12 / Classic 11.12 Handbag,SAME_MODEL_CONTINUOUS,Source tables identify the medium Classic / Classic Flap; current official anchor is the same 25.5 cm Classic 11.12 form. Historical references are not shown.,HIGH,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
CH-C02,Chanel,Small Classic,A01113-Y01864-C3906,Chanel Classic Small,Chanel Classic Small,Petit sac classique / Small Classic Handbag,SAME_MODEL_CONTINUOUS,2022–2024 table labels the same Small Classic size; current official anchor is a 23 cm Small Classic.,HIGH,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
CH-C03,Chanel,Mini Classic,A35200-Y04059-94305,Chanel Classic Square Mini,Chanel Classic Square Mini,Mini sac classique / Mini Classic Handbag,SAME_MODEL_CONTINUOUS,"Historical source labels the square mini; current official anchor is the 13.5 × 17 × 8 cm Mini Classic, distinct from the rectangular mini.",HIGH,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
CH-C04,Chanel,Mini Classic,A69900-Y04059-94305,Chanel Classic Rectangular Mini,Chanel Classic Rectangular Mini,Mini sac classique / Mini Classic Handbag,SAME_MODEL_CONTINUOUS,"Historical source labels the rectangular mini; current official anchor is the 12 × 20 × 6 cm Mini Classic, distinct from the square mini.",HIGH,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
HM-H01,Hermès,Geta,H085408CKAW,Hermès Geta,Hermès Geta,Sac Hermès Geta / Hermès Geta bag,SAME_MODEL_CONTINUOUS,Historical sources identify the Geta model; current official anchors use the same official reference in France and the United States.,MEDIUM,"France includes a 2023 source conflict (4,550 vs 5,550 EUR); both are retained. US historical coverage is available for 2023–2024."
HM-H02,Hermès,Jypsière,H088004CC7U (FR); H087119CKAD (US),Hermès Mini Jypsiere / Jypsière Mini,Hermès Mini Jypsiere / Jypsière Mini,Sac Jypsière mini / Jypsiere mini Toile & Cuir bag,MODEL_SUCCESSOR,Historical source identifies Mini Jypsiere in Swift; current France anchor is calfskin and current US anchor is H canvas/Swift with different references.,MEDIUM,France historical series is usable for 2023–2024. US current anchor retained but historical US coverage not found.
LV-L01,Louis Vuitton,Speedy,M2A038,Louis Vuitton Speedy Bandouliere 25 canvas,Louis Vuitton Speedy Bandouliere 25 canvas,Sac / Speedy Bandoulière 25,MODEL_SUCCESSOR,Historical source identifies Speedy Bandouliere 25 canvas; current anchor is the same model/size with Monogram Dune canvas and a different reference.,MEDIUM,"Model continuity is strong, but current special-canvas version is not treated as an exact SKU."
LV-L02,Louis Vuitton,Speedy,M2A099,Louis Vuitton Speedy Bandouliere 20 Empreinte,Louis Vuitton Speedy Bandouliere 20 Empreinte,Sac Speedy Bandoulière 20,SAME_MODEL_CONTINUOUS,Historical table identifies Speedy Bandouliere 20 empreinte; current France anchor is the same 20 size and Monogram Empreinte material family.,MEDIUM,France-only current anchor in the supplied dataset; US historical/current match not accepted.
LV-L03,Louis Vuitton,Alma,M3A842 (FR); M46990 (US),Louis Vuitton Alma BB canvas,Louis Vuitton Alma BB canvas,Alma BB,MODEL_SUCCESSOR,"Historical source identifies Alma BB canvas; current US anchor is Monogram but France anchor is an other-leathers version, so the lineage is not treated as exact across markets.",MEDIUM,Both FR and US historical prices are retained with material/version caveat.
LV-L04,Louis Vuitton,Neverfull,M46987 (US),Louis Vuitton Neverfull MM Monogram canvas,Louis Vuitton Neverfull MM Monogram canvas,Neverfull MM,SAME_MODEL_CONTINUOUS,Historical sources identify Neverfull MM Monogram/canvas; current US anchor is official M46987 in Monogram canvas.,HIGH,Current France anchor was not present in the supplied current capture; France historical observations are retained and marked current-FR anchor incomplete.
DI-D01,Dior,Saddle,M0457CUQW_M900,Dior Saddle Bag,Dior Saddle Bag,Saddle Small Bag with Strap,MODEL_SUCCESSOR,Historical US source identifies Dior Saddle Bag but does not state size/material; current official anchor is the small grained-calfskin version.,MEDIUM,US historical series is usable for 2022–2023 with size/material caveat; France current anchor retained.
DI-D02,Dior,Dior Book Tote,M1325OWHP_M900,Small Dior Book Tote Oblique Canvas,Small Dior Book Tote Oblique Canvas,Small Dior Book Tote,MODEL_SUCCESSOR,Historical source gives exact small size/dimensions for Oblique Canvas; current anchor is the same size in Macrocannage calfskin.,MEDIUM,Material/version difference is documented; do not treat as exact-SKU continuity.
DI-D03,Dior,Dior Book Tote,M1324OWHP_M51U,Medium Dior Book Tote Oblique Canvas,Medium Dior Book Tote Oblique Canvas,Medium Dior Book Tote,MODEL_SUCCESSOR,Historical source gives exact medium size/dimensions for Oblique Canvas; current anchor is the same size in Macrocannage calfskin.,MEDIUM,France current anchor is numeric; US current price was unresolved in the supplied current capture.
