brand,product_lineage_id,product_family,market,currency,lineage_continuity_status,cagr_status,earliest_observation,latest_observation,n_numeric_observations,elapsed_years,earliest_price,latest_price,cagr_pct,source_confidence_mix,calculation_confidence,year_only_date_convention
Chanel,CH-C01,Classic 11.12,FR,EUR,SAME_MODEL_CONTINUOUS,comparable_cagr,2022,2026-08-15,4,4.619,8990.00,10500.00,3.42,HIGH+MEDIUM,MEDIUM,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Chanel,CH-C02,Small Classic,FR,EUR,SAME_MODEL_CONTINUOUS,comparable_cagr,2022,2026-08-15,4,4.619,8450.00,10100.00,3.94,HIGH+MEDIUM,MEDIUM,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Chanel,CH-C03,Mini Classic,FR,EUR,SAME_MODEL_CONTINUOUS,comparable_cagr,2020,2026-08-15,5,6.620,3350.00,4850.00,5.75,HIGH+MEDIUM,MEDIUM,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Chanel,CH-C04,Mini Classic,FR,EUR,SAME_MODEL_CONTINUOUS,comparable_cagr,2022,2026-08-15,4,4.619,4350.00,5050.00,3.28,HIGH+MEDIUM,MEDIUM,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Dior,DI-D01,Saddle,US,USD,MODEL_SUCCESSOR,directional_cagr,2022,2026-08-15,3,4.619,4200.00,4400.00,1.01,HIGH+MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Dior,DI-D02,Dior Book Tote,FR,EUR,MODEL_SUCCESSOR,directional_cagr,2024,2026-08-15,2,2.620,2600.00,3250.00,8.89,HIGH+MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Dior,DI-D02,Dior Book Tote,US,USD,MODEL_SUCCESSOR,directional_cagr,2024,2026-08-15,2,2.620,3250.00,3900.00,7.21,HIGH+MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Dior,DI-D03,Dior Book Tote,FR,EUR,MODEL_SUCCESSOR,directional_cagr,2024,2026-08-15,2,2.620,2700.00,3650.00,12.19,HIGH+MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Dior,DI-D03,Dior Book Tote,US,USD,MODEL_SUCCESSOR,directional_cagr,2019,2024,5,5.000,2700.00,3350.00,4.41,MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Hermès,HM-H01,Geta,FR,EUR,SAME_MODEL_CONTINUOUS,comparable_cagr,2022,2026-08-15,3,4.619,4550.00,5300.00,3.36,HIGH+MEDIUM,MEDIUM,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Hermès,HM-H01,Geta,US,USD,SAME_MODEL_CONTINUOUS,comparable_cagr,2023,2026-08-15,3,3.619,5950.00,7650.00,7.19,HIGH+MEDIUM,MEDIUM,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Hermès,HM-H02,Jypsière,FR,EUR,MODEL_SUCCESSOR,directional_cagr,2023,2026-08-15,3,3.619,5500.00,6850.00,6.25,HIGH+MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Louis Vuitton,LV-L01,Speedy,FR,EUR,MODEL_SUCCESSOR,directional_cagr,2021,2026-08-15,5,5.618,1180.00,3200.00,19.43,HIGH+MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Louis Vuitton,LV-L01,Speedy,US,USD,MODEL_SUCCESSOR,directional_cagr,2021,2026-08-15,4,5.618,1650.00,4150.00,17.84,HIGH+MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Louis Vuitton,LV-L02,Speedy,FR,EUR,SAME_MODEL_CONTINUOUS,comparable_cagr,2022,2026-08-15,3,4.619,1960.00,2400.00,4.48,HIGH+MEDIUM,MEDIUM,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Louis Vuitton,LV-L03,Alma,FR,EUR,MODEL_SUCCESSOR,directional_cagr,2021,2026-08-15,5,5.618,1100.00,2800.00,18.09,HIGH+MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Louis Vuitton,LV-L03,Alma,US,USD,MODEL_SUCCESSOR,directional_cagr,2021,2026-08-15,4,5.618,1480.00,2000.00,5.51,HIGH+MEDIUM,MEDIUM-LOW,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Louis Vuitton,LV-L04,Neverfull,FR,EUR,SAME_MODEL_CONTINUOUS,comparable_cagr,2021,2023,3,2.000,1150.00,1500.00,14.21,MEDIUM,MEDIUM,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
Louis Vuitton,LV-L04,Neverfull,US,USD,SAME_MODEL_CONTINUOUS,comparable_cagr,2021,2026-08-15,4,5.618,1540.00,2240.00,6.90,HIGH+MEDIUM,MEDIUM,YYYY-to-YYYY uses calendar-year difference; otherwise date difference / 365.25.
