brand,market,currency,family,observations,numeric_observations,unique_references,devariant_groups,minimum_observed_price,p10_sample,p25_sample,p50_sample,p75_sample,p90_sample,maximum_observed_price,distribution_note
Chanel,FR,EUR,Bowling Bag,2,2,2,2,5800,5840,5900,6000,6100,6160,6200,N<10: tails are descriptive only; unit is the accepted observed product row.
Chanel,FR,EUR,Classic 11.12,9,6,9,3,10000,10000,10125,10500,10500,11375,12250,N<10: tails are descriptive only; unit is the accepted observed product row.
Chanel,FR,EUR,Mini Classic,2,2,2,2,4850,4870,4900,4950,5000,5030,5050,N<10: tails are descriptive only; unit is the accepted observed product row.
Chanel,FR,EUR,Shopping Bag,6,6,6,6,4900,5250,5650,5900,6375,6600,6700,N<10: tails are descriptive only; unit is the accepted observed product row.
Chanel,FR,EUR,Small Classic,1,1,1,1,10100,10100,10100,10100,10100,10100,10100,N<10: tails are descriptive only; unit is the accepted observed product row.
Chanel,US,USD,Bowling Bag,2,2,2,2,6500,6540,6600,6700,6800,6860,6900,N<10: tails are descriptive only; unit is the accepted observed product row.
Chanel,US,USD,Classic 11.12,9,6,9,3,11000,11000,11175,11700,11700,12600,13500,N<10: tails are descriptive only; unit is the accepted observed product row.
Chanel,US,USD,Mini Classic,2,2,2,2,5400,5420,5450,5500,5550,5580,5600,N<10: tails are descriptive only; unit is the accepted observed product row.
Chanel,US,USD,Shopping Bag,7,7,7,7,5500,5860,6200,6600,7000,7340,7400,N<10: tails are descriptive only; unit is the accepted observed product row.
Chanel,US,USD,Small Classic,1,1,1,1,11300,11300,11300,11300,11300,11300,11300,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Balusoie,1,1,1,1,2170,2170,2170,2170,2170,2170,2170,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Della Cavalleria mini II,1,1,1,1,5400,5400,5400,5400,5400,5400,5400,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Della Cavalleria Élan,1,1,1,1,5900,5900,5900,5900,5900,5900,5900,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,En Piste,1,1,1,1,5300,5300,5300,5300,5300,5300,5300,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Geta,1,1,1,1,5300,5300,5300,5300,5300,5300,5300,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Jypsière,1,1,1,1,6850,6850,6850,6850,6850,6850,6850,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Mini Médor,1,1,1,1,4650,4650,4650,4650,4650,4650,4650,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Médor Clous,1,1,1,1,8150,8150,8150,8150,8150,8150,8150,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Néo Double Sens,1,1,1,1,4050,4050,4050,4050,4050,4050,4050,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Néo Médor,1,1,1,1,9100,9100,9100,9100,9100,9100,9100,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,P'tit Arçon,1,1,1,1,3950,3950,3950,3950,3950,3950,3950,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Petit Tour,1,1,1,1,8900,8900,8900,8900,8900,8900,8900,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Petite Course,1,1,1,1,4150,4150,4150,4150,4150,4150,4150,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Plume,1,1,1,1,5650,5650,5650,5650,5650,5650,5650,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Poche Cliquetis,2,2,2,1,5600,5600,5600,5600,5600,5600,5600,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Roulis,1,1,1,1,7150,7150,7150,7150,7150,7150,7150,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Victoria,1,1,1,1,5750,5750,5750,5750,5750,5750,5750,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,FR,EUR,Videpoches,2,2,2,2,3300,3350,3425,3550,3675,3750,3800,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Della Cavalleria Elan,1,1,1,1,8550,8550,8550,8550,8550,8550,8550,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Geta,1,1,1,1,7650,7650,7650,7650,7650,7650,7650,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Hac a Dos,1,1,1,1,13200,13200,13200,13200,13200,13200,13200,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Herbag,2,2,2,1,4550,4550,4550,4550,4550,4550,4550,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Horseback,1,1,1,1,6850,6850,6850,6850,6850,6850,6850,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Jypsière,1,1,1,1,9350,9350,9350,9350,9350,9350,9350,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Kelly depeches,1,1,1,1,11100,11100,11100,11100,11100,11100,11100,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Neo Garden Voyage,2,2,2,1,5450,5450,5450,5450,5450,5450,5450,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,P'tit Arçon,1,1,1,1,5550,5550,5550,5550,5550,5550,5550,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Silkycity,1,1,1,1,3075,3075,3075,3075,3075,3075,3075,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Tablier Sellier,1,1,1,1,5850,5850,5850,5850,5850,5850,5850,N<10: tails are descriptive only; unit is the accepted observed product row.
Hermès,US,USD,Videpoches,7,7,7,3,3975,3975,4362.50,5500,5500,5500,5500,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,FR,EUR,Alma,2,2,2,1,2800,2800,2800,2800,2800,2800,2800,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,FR,EUR,Bundle Trunk,2,2,2,1,3200,3200,3200,3200,3200,3200,3200,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,FR,EUR,Express,3,3,3,3,3500,3540,3600,3700,3750,3780,3800,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,FR,EUR,Multipass,6,6,6,4,1800,1900,2000,2000,2487.50,2650,2650,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,FR,EUR,OnTheGo,1,1,1,1,2900,2900,2900,2900,2900,2900,2900,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,FR,EUR,Side Trunk,1,1,1,1,3600,3600,3600,3600,3600,3600,3600,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,FR,EUR,Speedy,4,4,4,4,2400,2460,2550,2900,3300,3480,3600,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,FR,EUR,Squire,1,1,1,1,2200,2200,2200,2200,2200,2200,2200,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Alma,1,1,1,1,2000,2000,2000,2000,2000,2000,2000,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Boulogne,1,1,1,1,2700,2700,2700,2700,2700,2700,2700,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,CarryAll,1,1,1,1,2940,2940,2940,2940,2940,2940,2940,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Diane,1,1,1,1,2700,2700,2700,2700,2700,2700,2700,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Frivole,1,1,1,1,2210,2210,2210,2210,2210,2210,2210,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Hang On,1,1,1,1,2850,2850,2850,2850,2850,2850,2850,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,High Rise,1,1,1,1,2020,2020,2020,2020,2020,2020,2020,N<10: tails are descriptive only; unit is the accepted observed product row.
