brand,market,currency,observed_year,observed_product_role,n_observations,n_lineages,lineages,median_price,min_price,max_price,confidence,calculation_note
Chanel,FR,EUR,2020,signature_access,1,1,CH-C03,3350.00,3350.00,3350.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,FR,EUR,2022,signature_access,2,2,CH-C03;CH-C04,4250.00,4150.00,4350.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,FR,EUR,2022,signature_icon,2,2,CH-C01;CH-C02,8720.00,8450.00,8990.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,FR,EUR,2023,signature_access,2,2,CH-C03;CH-C04,4600.00,4500.00,4700.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,FR,EUR,2023,signature_icon,2,2,CH-C01;CH-C02,9500.00,9300.00,9700.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,FR,EUR,2024,signature_access,2,2,CH-C03;CH-C04,4850.00,4750.00,4950.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,FR,EUR,2024,signature_icon,2,2,CH-C01;CH-C02,10100.00,9900.00,10300.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,FR,EUR,2026,signature_access,2,2,CH-C03;CH-C04,4950.00,4850.00,5050.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,FR,EUR,2026,signature_icon,2,2,CH-C01;CH-C02,10300.00,10100.00,10500.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,US,USD,2026,signature_access,2,2,CH-C03;CH-C04,5500.00,5400.00,5600.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Chanel,US,USD,2026,signature_icon,2,2,CH-C01;CH-C02,11500.00,11300.00,11700.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,FR,EUR,2024,signature_core,2,2,DI-D02;DI-D03,2650.00,2600.00,2700.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
