lineage_id,brand,family,current_reference,historical_reference,continuity_status,confidence,source_lineage_file,notes
CH-C01,Chanel,Classic 11.12,A01112-Y04059-U8390,Medium Chanel Classic / Classic Flap,SAME_MODEL_CONTINUOUS,HIGH,luxury_historical_pricing/lineage/product_lineage.csv,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
CH-C02,Chanel,Small Classic,A01113-Y01864-C3906,Chanel Classic Small,SAME_MODEL_CONTINUOUS,HIGH,luxury_historical_pricing/lineage/product_lineage.csv,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
CH-C03,Chanel,Mini Classic,A35200-Y04059-94305,Chanel Classic Square Mini,SAME_MODEL_CONTINUOUS,HIGH,luxury_historical_pricing/lineage/product_lineage.csv,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
CH-C04,Chanel,Mini Classic,A69900-Y04059-94305,Chanel Classic Rectangular Mini,SAME_MODEL_CONTINUOUS,HIGH,luxury_historical_pricing/lineage/product_lineage.csv,France historical series is usable. US historical coverage not found in the accepted sources; current US anchor retained.
HM-H01,Hermès,Geta,H085408CKAW,Hermès Geta,SAME_MODEL_CONTINUOUS,MEDIUM,luxury_historical_pricing/lineage/product_lineage.csv,"France includes a 2023 source conflict (4,550 vs 5,550 EUR); both are retained. US historical coverage is available for 2023–2024."
HM-H02,Hermès,Jypsière,H088004CC7U (FR); H087119CKAD (US),Hermès Mini Jypsiere / Jypsière Mini,MODEL_SUCCESSOR,MEDIUM,luxury_historical_pricing/lineage/product_lineage.csv,France historical series is usable for 2023–2024. US current anchor retained but historical US coverage not found.
LV-L01,Louis Vuitton,Speedy,M2A038,Louis Vuitton Speedy Bandouliere 25 canvas,MODEL_SUCCESSOR,MEDIUM,luxury_historical_pricing/lineage/product_lineage.csv,"Model continuity is strong, but current special-canvas version is not treated as an exact SKU."
LV-L02,Louis Vuitton,Speedy,M2A099,Louis Vuitton Speedy Bandouliere 20 Empreinte,SAME_MODEL_CONTINUOUS,MEDIUM,luxury_historical_pricing/lineage/product_lineage.csv,France-only current anchor in the supplied dataset; US historical/current match not accepted.
LV-L03,Louis Vuitton,Alma,M3A842 (FR); M46990 (US),Louis Vuitton Alma BB canvas,MODEL_SUCCESSOR,MEDIUM,luxury_historical_pricing/lineage/product_lineage.csv,Both FR and US historical prices are retained with material/version caveat.
LV-L04,Louis Vuitton,Neverfull,M46987 (US),Louis Vuitton Neverfull MM Monogram canvas,SAME_MODEL_CONTINUOUS,HIGH,luxury_historical_pricing/lineage/product_lineage.csv,Current France anchor was not present in the supplied current capture; France historical observations are retained and marked current-FR anchor incomplete.
DI-D01,Dior,Saddle,M0457CUQW_M900,Dior Saddle Bag,MODEL_SUCCESSOR,MEDIUM,luxury_historical_pricing/lineage/product_lineage.csv,US historical series is usable for 2022–2023 with size/material caveat; France current anchor retained.
DI-D02,Dior,Dior Book Tote,M1325OWHP_M900,Small Dior Book Tote Oblique Canvas,MODEL_SUCCESSOR,MEDIUM,luxury_historical_pricing/lineage/product_lineage.csv,Material/version difference is documented; do not treat as exact-SKU continuity.
DI-D03,Dior,Dior Book Tote,M1324OWHP_M51U,Medium Dior Book Tote Oblique Canvas,MODEL_SUCCESSOR,MEDIUM,luxury_historical_pricing/lineage/product_lineage.csv,France current anchor is numeric; US current price was unresolved in the supplied current capture.
