row_id,brand,market,role,candidate_families,observed_families_in_snapshot,accepted_observations,numeric_observations,numeric_coverage,unresolved_or_non_numeric,source_type,identity_readiness,usage_material_readiness,regular_special_readiness,date_readiness,comparable_readiness,gap_priority,trial_action,decision,limitation
FM-CH-FR-ANCHOR,Chanel,FR,current_anchor,"Classic 11.12;Small Classic;Mini Classic;Shopping Bag;Bowling Bag","Classic 11.12;Small Classic;Mini Classic;Shopping Bag;Bowling Bag",20,17,85.0%,3 POR,official current snapshot,high,partial_taxonomy,unknown,current_snapshot_locked,blocked_until_pairing,high,retain anchor rows and tag attributes,retain_as_anchor,"Accepted rows are not a complete Chanel assortment; Classic POR rows remain outside numeric calculations."
FM-CH-US-ANCHOR,Chanel,US,current_anchor,"Classic 11.12;Small Classic;Mini Classic;Shopping Bag;Bowling Bag","Classic 11.12;Small Classic;Mini Classic;Shopping Bag;Bowling Bag",21,18,85.7%,3 POR,official current snapshot,high,partial_taxonomy,unknown,current_snapshot_locked,blocked_until_pairing,high,retain anchor rows and tag attributes,retain_as_anchor,"Accepted rows are not a complete Chanel assortment; Classic POR rows remain outside numeric calculations."
FM-CH-FR-GAP,Chanel,FR,targeted_gap,"2.55;Boy;19;22;25;WOC;Shopping/Bowling variants",not_in_snapshot,0,0,n/a,not_attempted,official pages to verify,pending_product_master,pending,pending,current_snapshot_to_verify,blocked_until_attribute_filter,critical,supplement_collected,targeted_verify_pending_rebuild,"Baseline remains unchanged; 11 reference pairs / 22 rows are in supplementary_current and await attribute-filter rebuild."
FM-CH-US-GAP,Chanel,US,targeted_gap,"2.55;Boy;19;22;25;WOC;Shopping/Bowling variants",not_in_snapshot,0,0,n/a,not_attempted,official pages to verify,pending_product_master,pending,pending,current_snapshot_to_verify,blocked_until_attribute_filter,critical,supplement_collected,targeted_verify_pending_rebuild,"Baseline remains unchanged; 11 reference pairs / 22 rows are in supplementary_current and await attribute-filter rebuild."
FM-HM-FR,Hermès,FR,high_and_broad_reference,"family names pending product_master taxonomy","Balusoie;Della Cavalleria mini II;Della Cavalleria Élan;En Piste;Geta;Jypsière;Mini Médor;Médor Clous;Néo Double Sens;Néo Médor;P'tit Arçon;Petit Tour;Petite Course;Plume;Poche Cliquetis;Roulis;Victoria;Videpoches",20,20,100.0%,0,official current snapshot,medium,partial_taxonomy,unknown,current_snapshot_locked,blocked_until_pairing,medium,tag use/material and identify regular/special,retain_for_cross_brand_screen,"No signature flag is available; family count is an observed-page count, not assortment coverage."
FM-HM-US,Hermès,US,high_and_broad_reference,"family names pending product_master taxonomy","Della Cavalleria Elan;Geta;Hac a Dos;Herbag;Horseback;Jypsière;Kelly depeches;Neo Garden Voyage;P'tit Arçon;Silkycity;Tablier Sellier;Videpoches",20,20,100.0%,0,official current snapshot,medium,partial_taxonomy,unknown,current_snapshot_locked,blocked_until_pairing,medium,tag use/material and identify regular/special,retain_for_cross_brand_screen,"No signature flag is available; French and US family labels are not assumed identical without mapping."
FM-LV-FR,Louis Vuitton,FR,entry_core_reference,"family names pending product_master taxonomy","Alma;Bundle Trunk;Express;Multipass;OnTheGo;Side Trunk;Speedy;Squire",20,20,100.0%,0,official current snapshot,high,partial_taxonomy,unknown,current_snapshot_locked,blocked_until_pairing,medium,tag use/material and identify regular/special,retain_for_cross_brand_screen,"Current rows provide price anchors but do not establish a complete low/core ladder."
FM-LV-US,Louis Vuitton,US,entry_core_reference,"family names pending product_master taxonomy","Alma;Boulogne;CarryAll;Diane;Frivole;Hang On;High Rise;Liv;Madeleine;Marelle;Multipass;Neverfull;Speedy;Squire",20,20,100.0%,0,official current snapshot,high,partial_taxonomy,unknown,current_snapshot_locked,blocked_until_pairing,medium,tag use/material and identify regular/special,retain_for_cross_brand_screen,"Current rows provide price anchors but do not establish a complete low/core ladder."
FM-DI-FR,Dior,FR,core_reference,"family names pending product_master taxonomy","Dior Blooming;Dior Book Tote;Dior Bow;Dior Médaillon;Dior Promenade;Dior Toujours;Diorly;Saddle",20,19,95.0%,1 unresolved,official current snapshot,high,partial_taxonomy,unknown,current_snapshot_locked,blocked_until_pairing,high,resolve one unresolved row and tag use/material,retain_for_cross_brand_screen,"One unresolved row remains excluded; no cross-brand pair is promoted before attribute matching."
FM-DI-US,Dior,US,core_reference,"family names pending product_master taxonomy","Dior Blooming;Dior Book Tote;Dior Bow;Dior Médaillon;Dior Promenade;Dior Toujours;Diorly;Saddle",20,13,65.0%,7 unresolved,official current snapshot,high,partial_taxonomy,unknown,current_snapshot_locked,blocked_until_pairing,critical,prioritize price resolution before pairing,blocked_until_price_resolution,"Seven US prices are unresolved; no imputation or denominator substitution is allowed."
