module,scenario,market,metric,baseline,alternative,delta,stable,notes
M2,raw_vs_devariant,FR,observed_gap,3300,3300,0,TRUE,Color/near-duplicate rows collapse only in the de-variant view.
M2,raw_vs_devariant,US,observed_gap,3600,3600,0,TRUE,Color/near-duplicate rows collapse only in the de-variant view.
M5,aligned_history,FR,absolute_gap,4470,,,TRUE,Common observed years only; lineage members are fixed and missing years are not interpolated.
M5,aligned_history,FR,absolute_gap,4900,,,TRUE,Common observed years only; lineage members are fixed and missing years are not interpolated.
M5,aligned_history,FR,absolute_gap,5250,,,TRUE,Common observed years only; lineage members are fixed and missing years are not interpolated.
M5,aligned_history,FR,absolute_gap,5350,,,TRUE,Common observed years only; lineage members are fixed and missing years are not interpolated.
M3,boundary_plus_minus10pct,FR,Chanel:Access / lower:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Chanel:Core:count,2,2;2;0;3;2;2;2;2,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Chanel:Exceptional / icon:count,7,7;7;7;7;7;7;7;1,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Chanel:High:count,0,0;0;0;0;2;0;0;6,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Chanel:Premium core:count,8,8;8;10;7;6;8;8;8,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Hermès:Access / lower:count,1,1;2;1;1;1;1;1;1,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Hermès:Core:count,6,6;5;5;9;6;6;6;6,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Hermès:Exceptional / icon:count,0,0;0;0;0;0;0;1;0,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Hermès:High:count,4,4;4;4;4;5;3;3;4,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Hermès:Premium core:count,9,9;9;10;6;8;10;9;9,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Louis Vuitton:Access / lower:count,12,9;15;12;12;12;12;12;12,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Louis Vuitton:Core:count,8,11;5;8;8;8;8;8;8,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
